,precision,recall,f1-score,support
0,0.7381870416572163,0.6748686756980924,0.7051092254919661,14468.0
1,0.6800652927973883,0.7427573911751597,0.7100301793005503,13462.0
accuracy,0.7075904045828858,0.7075904045828858,0.7075904045828858,0.7075904045828858
macro avg,0.7091261672273023,0.708813033436626,0.7075697023962582,27930.0
weighted avg,0.7101728997613693,0.7075904045828858,0.7074810794186098,27930.0
