,precision,recall,f1-score,support
0,0.9463975202237846,0.9437575392038601,0.9450756860820657,13264.0
1,0.9492620553628511,0.9516568934951589,0.9504579658823931,14666.0
accuracy,0.9479054779806659,0.9479054779806659,0.9479054779806659,0.9479054779806659
macro avg,0.947829787793318,0.9477072163495095,0.9477668259822294,27930.0
weighted avg,0.9479016832151755,0.9479054779806659,0.9479019129188577,27930.0
