,precision,recall,f1-score,support
0,0.9686247826415665,0.9594847599790309,0.964033107599699,13353.0
1,0.9632047881384751,0.9715304932427797,0.9673497267759562,14577.0
accuracy,0.9657715717866093,0.9657715717866093,0.9657715717866093,0.9657715717866093
macro avg,0.9659147853900207,0.9655076266109053,0.9656914171878276,27930.0
weighted avg,0.9657960228896307,0.9657715717866093,0.9657640906907231,27930.0
