,precision,recall,f1-score,support
0,0.9383836092840402,0.5938187733231269,0.7273579653666968,20902.0
1,0.42256682309732707,0.8840352874217416,0.5718098568864756,7028.0
accuracy,0.6668456856426781,0.6668456856426781,0.6668456856426781,0.6668456856426781
macro avg,0.6804752161906836,0.7389270303724342,0.6495839111265862,27930.0
weighted avg,0.8085891097022206,0.6668456856426781,0.6882175390724256,27930.0
