,precision,recall,f1-score,support
0,0.13253194223935888,0.7184426229508196,0.22378247271334648,2440.0
1,0.9532748418690064,0.5498626912514711,0.6974348767198268,25490.0
accuracy,0.5645900465449337,0.5645900465449337,0.5645900465449337,0.5645900465449337
macro avg,0.5429033920541826,0.6341526571011453,0.4606086747165867,27930.0
weighted avg,0.881573707780344,0.5645900465449337,0.6560560057647316,27930.0
